Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Zipcode,Poverty Rate,Unemployment Rate
ZCTA5 00979,34284.0,15203.0,48.4,29494.0,2727.0,508.0,00979,17.937249227126227,3.341445767282773
ZCTA5 00982,25935.0,14514.0,44.3,14037.0,5287.0,918.0,00982,36.42689816728676,6.3249276560562215
ZCTA5 00983,27149.0,36687.0,41.1,13585.0,11804.0,2352.0,00983,32.17488483659062,6.410990269032627
ZCTA5 00985,24834.0,32750.0,41.5,13531.0,10466.0,2456.0,00985,31.957251908396948,7.4992366412213745
ZCTA5 00987,32967.0,58583.0,38.7,16557.0,14378.0,3724.0,00987,24.542956147687896,6.35679292627554
ZCTA5 01001,57694.0,17537.0,45.8,33135.0,1557.0,422.0,01001,8.878371443234304,2.4063408792838
ZCTA5 01002,52379.0,30280.0,23.6,27657.0,7851.0,1192.0,01002,25.928005284015853,3.9365918097754293
ZCTA5 01003,2499.0,11131.0,19.9,4370.0,57.0,906.0,01003,0.5120833707663283,8.139430419549008
ZCTA5 01005,70325.0,5014.0,45.4,35334.0,307.0,150.0,01005,6.122856003191065,2.991623454327882
ZCTA5 01007,86165.0,14906.0,43.8,39308.0,855.0,399.0,01007,5.735945256943513,2.6767744532403057
ZCTA5 01008,62750.0,1272.0,49.9,33933.0,89.0,59.0,01008,6.99685534591195,4.638364779874214
ZCTA5 01009,59440.0,384.0,66.2,26043.0,171.0,22.0,01009,44.53125,5.729166666666667
ZCTA5 01010,86523.0,3724.0,48.1,39077.0,156.0,164.0,01010,4.189044038668099,4.403866809881848
ZCTA5 01011,75263.0,1507.0,39.9,30903.0,102.0,50.0,01011,6.768414067684141,3.3178500331785004
ZCTA5 01012,70114.0,531.0,43.2,37778.0,60.0,30.0,01012,11.299435028248588,5.649717514124294
ZCTA5 01013,39868.0,23026.0,35.0,21738.0,4151.0,984.0,01013,18.02744723356206,4.273430035611917
ZCTA5 01020,58780.0,30148.0,44.2,30076.0,3173.0,1192.0,01020,10.524744593339525,3.953827782937508
ZCTA5 01022,43349.0,2604.0,37.6,25748.0,615.0,116.0,01022,23.617511520737327,4.45468509984639
ZCTA5 01026,51442.0,958.0,49.5,30925.0,45.0,22.0,01026,4.697286012526096,2.2964509394572024
ZCTA5 01027,63699.0,17870.0,44.9,34386.0,1773.0,695.0,01027,9.921656407386681,3.889199776161164
ZCTA5 01028,85221.0,16156.0,45.9,38320.0,708.0,409.0,01028,4.382272839811835,2.531567219608814
ZCTA5 01029,50750.0,728.0,47.3,31970.0,102.0,39.0,01029,14.010989010989011,5.357142857142857
ZCTA5 01030,71716.0,11211.0,45.1,33551.0,1057.0,219.0,01030,9.428240121309429,1.9534385871019535
ZCTA5 01031,41875.0,1151.0,38.6,27940.0,199.0,37.0,01031,17.28931364031277,3.214596003475239
ZCTA5 01032,78011.0,551.0,49.8,37424.0,12.0,19.0,01032,2.1778584392014517,3.4482758620689653
ZCTA5 01033,89965.0,6300.0,45.8,40222.0,324.0,161.0,01033,5.142857142857143,2.5555555555555554
ZCTA5 01034,87045.0,2313.0,46.9,36015.0,186.0,63.0,01034,8.041504539559014,2.7237354085603114
ZCTA5 01035,58953.0,5301.0,47.4,41575.0,280.0,32.0,01035,5.282022259950953,0.6036596868515375
ZCTA5 01036,81304.0,5193.0,49.4,39634.0,206.0,171.0,01036,3.966878490275371,3.292894280762565
ZCTA5 01037,92750.0,772.0,46.1,31356.0,93.0,20.0,01037,12.046632124352332,2.5906735751295336
ZCTA5 01038,67096.0,2897.0,51.4,39453.0,112.0,23.0,01038,3.8660683465654127,0.7939247497411115
ZCTA5 01039,80000.0,1129.0,54.6,49565.0,85.0,53.0,01039,7.528786536758193,4.694419840566874
ZCTA5 01040,37954.0,40362.0,35.2,22625.0,11228.0,1877.0,01040,27.818244883801597,4.650413755512611
ZCTA5 01050,68869.0,2334.0,43.7,31233.0,165.0,23.0,01050,7.069408740359897,0.9854327335047129
