Zipcode,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Poverty Rate,Unemployment Rate,Lat,Lng
00918,ZCTA5 00918,23333.0,16595.0,42.3,20852.0,6819.0,702.0,41.09068996685749,4.230189816209702,18.4180126,-66.0671709
00920,ZCTA5 00920,25433.0,16698.0,45.0,14906.0,5291.0,506.0,31.68642951251647,3.0303030303030303,18.4100746,-66.09096339999999
00921,ZCTA5 00921,18690.0,35161.0,38.7,12707.0,16019.0,1353.0,45.5590000284406,3.848013423964051,18.3934227,-66.09096339999999
00923,ZCTA5 00923,14041.0,24754.0,39.3,10907.0,14208.0,2018.0,57.39678435808354,8.15221782338208,18.4124929,-66.0326401
00924,ZCTA5 00924,19303.0,51699.0,38.2,12558.0,23609.0,4704.0,45.66626046925472,9.098822027505367,18.3974088,-66.0166157
00925,ZCTA5 00925,9903.0,6796.0,34.6,10804.0,4145.0,888.0,60.99175985874044,13.066509711595057,18.403745,-66.05378809999999
00926,ZCTA5 00926,33624.0,99106.0,43.0,22687.0,29413.0,3745.0,29.67832421851351,3.778782313886142,18.3586321,-66.0702979
00927,ZCTA5 00927,32932.0,13503.0,45.9,25107.0,3605.0,618.0,26.697770865733542,4.576760719840036,18.3958126,-66.0671709
00934,ZCTA5 00934,-666666666.0,25.0,-666666666.0,,0.0,0.0,0.0,0.0,18.41389,-66.12886999999999
00936,ZCTA5 00936,-666666666.0,749.0,72.1,8875.0,0.0,0.0,0.0,0.0,18.466224,-66.1057244
00949,ZCTA5 00949,26032.0,76058.0,39.0,12924.0,25943.0,5956.0,34.10949538510084,7.830865918115123,18.4305854,-66.22481739999999
00950,ZCTA5 00950,-666666666.0,0.0,-666666666.0,-666666666.0,0.0,0.0,,,18.4461717,-66.2554042
00951,ZCTA5 00951,-666666666.0,0.0,-666666666.0,-666666666.0,0.0,0.0,,,18.4445235,-66.25503669999999
00952,ZCTA5 00952,15434.0,8467.0,42.3,8998.0,3983.0,732.0,47.041455060824376,8.645328924058107,,
00953,ZCTA5 00953,29837.0,72608.0,37.1,14360.0,21593.0,4192.0,29.73914720141031,5.773468488320846,18.3915871,-66.25355540000001
00956,ZCTA5 00956,23322.0,68452.0,40.4,12226.0,25233.0,5130.0,36.862326885993106,7.494302576988255,18.3608477,-66.15937319999999
00957,ZCTA5 00957,24438.0,40738.0,40.2,13000.0,15055.0,2498.0,36.95566792675144,6.131867052874466,18.3646857,-66.18851289999999
00959,ZCTA5 00959,29737.0,47849.0,40.2,15979.0,14152.0,2574.0,29.57637568183243,5.379422767455956,18.3902046,-66.1504497
00960,ZCTA5 00960,-666666666.0,2454.0,33.2,3972.0,19.0,0.0,0.7742461287693562,0.0,18.3930642,-66.15481679999999
00961,ZCTA5 00961,28455.0,31017.0,42.3,16714.0,9469.0,1414.0,30.528419898765193,4.558790340780862,18.4179488,-66.1712716
00962,ZCTA5 00962,16135.0,19864.0,37.1,9871.0,10780.0,2482.0,54.269029399919454,12.494965767217076,18.4354298,-66.1355775
00965,ZCTA5 00965,15369.0,7659.0,41.7,11228.0,4083.0,578.0,53.309831570701135,7.546677111894503,18.4351411,-66.12033389999999
00966,ZCTA5 00966,51318.0,16169.0,45.3,36677.0,2938.0,637.0,18.170573319314737,3.939637578081514,18.3918169,-66.1207057
00968,ZCTA5 00968,45811.0,3368.0,58.1,43889.0,498.0,128.0,14.78622327790974,3.8004750593824226,18.3994998,-66.1239013
00969,ZCTA5 00969,51604.0,43216.0,40.4,27897.0,7746.0,1530.0,17.923917067752683,3.5403554239170676,18.3656552,-66.1117828
00971,ZCTA5 00971,20604.0,27449.0,43.6,14718.0,10330.0,1718.0,37.63342926882582,6.258880104921855,18.3822991,-66.1221928
00976,ZCTA5 00976,30801.0,60134.0,39.4,16208.0,18527.0,1916.0,30.80952539328832,3.186217447700136,18.3656771,-66.0184793
00979,ZCTA5 00979,34284.0,15203.0,48.4,29494.0,2727.0,508.0,17.937249227126227,3.341445767282773,18.4275346,-66.00781359999999
00982,ZCTA5 00982,25935.0,14514.0,44.3,14037.0,5287.0,918.0,36.42689816728676,6.3249276560562215,18.402399,-65.9910964
00983,ZCTA5 00983,27149.0,36687.0,41.1,13585.0,11804.0,2352.0,32.17488483659062,6.410990269032627,18.4481264,-65.9809329
00985,ZCTA5 00985,24834.0,32750.0,41.5,13531.0,10466.0,2456.0,31.957251908396948,7.4992366412213745,18.4370067,-65.93930639999999
00987,ZCTA5 00987,32967.0,58583.0,38.7,16557.0,14378.0,3724.0,24.542956147687896,6.35679292627554,18.3546149,-65.94525279999999
01001,ZCTA5 01001,57694.0,17537.0,45.8,33135.0,1557.0,422.0,8.878371443234304,2.4063408792838,42.0636956,-72.6269437
01002,ZCTA5 01002,52379.0,30280.0,23.6,27657.0,7851.0,1192.0,25.928005284015853,3.9365918097754293,42.34037989999999,-72.4968189
01003,ZCTA5 01003,2499.0,11131.0,19.9,4370.0,57.0,906.0,0.5120833707663283,8.139430419549008,42.3956556,-72.52196169999999
01005,ZCTA5 01005,70325.0,5014.0,45.4,35334.0,307.0,150.0,6.122856003191065,2.991623454327882,42.4228364,-72.1050843
